Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.9971,0.9952267303102625,0.9875666074600356,0.9913818722139673,0.9996862639832121
XGBoost,0.9972,0.9946396664681358,0.9887507400828893,0.9916864608076009,0.9998713782065599
