Model,Dataset,Features,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,250K,Causal Features,0.99256,0.9832395546510236,0.9725281231497928,0.9778545064888677,0.9984546164538013
XGBoost,250K,Causal Features,0.9877,0.9705528846153846,0.9561870929544108,0.9633164330450343,0.9988465029440534
